Question,Answer
"What is computational thinking?
A) Initializes the dataset to empty
B) It multiplies all values
C) Marks all items as invalid
D) A way of solving problems so that a computer can execute the solution through clear, logical steps.",Correct Answer: D
"Why must instructions to a computer be precise?
A) It checks for even numbers only
B) Used for visual formatting
C) It multiplies all values
D) Because computers do exactly what they're told and cannot infer or guess.",Correct Answer: D
"Give an everyday analogy for computational thinking.
A) It multiplies all values
B) Following a cooking recipe — it requires ordered, unambiguous steps.
C) Used for visual formatting
D) It checks for even numbers only",Correct Answer: B
"What are the main components of a flowchart?
A) Marks all items as invalid
B) Start/End (oval), Process (rectangle), Decision (diamond), Flow (arrow).
C) Initializes the dataset to empty
D) It reverses the loop",Correct Answer: B
"What is the purpose of a flowchart?
A) Used to sort data
B) It reverses the loop
C) To visually represent the logical steps in a process.
D) Initializes the dataset to empty",Correct Answer: C
"What symbol is used for decision making in flowcharts?
A) Incorrect usage of loop
B) It multiplies all values
C) Diamond.
D) None of the above",Correct Answer: C
"What does a rectangle represent in a flowchart?
A) Used to sort data
B) A process or operation.
C) It reverses the loop
D) Incorrect usage of loop",Correct Answer: B
"What does an oval represent in a flowchart?
A) Initializes the dataset to empty
B) Start or End of a process.
C) Applies only to odd rows
D) Used to sort data",Correct Answer: B
"In a counting cards flowchart, what is initialized?
A) It reverses the loop
B) Initializes the dataset to empty
C) Marks all items as invalid
D) A counter variable, usually set to 0.",Correct Answer: D
"In flowcharts, what is the role of moving cards from Pile 1 to Pile 2?
A) It multiplies all values
B) To mark cards as 'visited' or 'processed'.
C) It checks for even numbers only
D) Applies only to odd rows",Correct Answer: B
"What happens if we forget to move cards in an iteration?
A) Used for visual formatting
B) Marks all items as invalid
C) We may reprocess the same item, causing incorrect results.
D) Initializes the dataset to empty",Correct Answer: C
"How is summing different from counting in flowcharts?
A) None of the above
B) It reverses the loop
C) Instead of incrementing a counter, a sum variable is updated.
D) Applies only to odd rows",Correct Answer: C
"How is filtering implemented in flowcharts?
A) It multiplies all values
B) Used to sort data
C) By adding a decision box inside the loop to check for a condition.
D) Used for visual formatting",Correct Answer: C
"What is an iterator?
A) Applies only to odd rows
B) A repeated structure that processes each item in a dataset.
C) Marks all items as invalid
D) It checks for even numbers only",Correct Answer: B
"What are the main steps of an iterator?
A) Initialize, check condition, process item, update, repeat.
B) Incorrect usage of loop
C) None of the above
D) Used for visual formatting",Correct Answer: A
"What is a variable?
A) It multiplies all values
B) A named value that changes during computation.
C) Initializes the dataset to empty
D) None of the above",Correct Answer: B
"Why is initialization important in iteration?
A) Used for visual formatting
B) Marks all items as invalid
C) Applies only to odd rows
D) To set the starting state for counting, summing, etc.",Correct Answer: D
"What is the role of 'found = False' in search?
A) It checks for even numbers only
B) It flags whether a matching item has been found.
C) It multiplies all values
D) Applies only to odd rows",Correct Answer: B
"What condition terminates a search loop early?
A) It multiplies all values
B) Applies only to odd rows
C) 'not found' becoming False.
D) Incorrect usage of loop",Correct Answer: C
"What is filtering?
A) Marks all items as invalid
B) Selecting items that match certain conditions during iteration.
C) It reverses the loop
D) Applies only to odd rows",Correct Answer: B
"What does 'if X.Marks > 90 then count++' do?
A) It reverses the loop
B) None of the above
C) Used to sort data
D) Counts items with marks above 90.",Correct Answer: D
"What is a boolean variable?
A) None of the above
B) It reverses the loop
C) It checks for even numbers only
D) A variable with only two values: True or False.",Correct Answer: D
"How can you check if a dataset contains a value?
A) Applies only to odd rows
B) Used for visual formatting
C) It checks for even numbers only
D) Use a loop and a flag like 'found = True' if match occurs.",Correct Answer: D
"Why avoid breaking loops directly?
A) It multiplies all values
B) To maintain structure and avoid state inconsistency.
C) Marks all items as invalid
D) Applies only to odd rows",Correct Answer: B
"What is a table in computational thinking?
A) A structured representation of data using rows and columns.
B) Initializes the dataset to empty
C) Used to sort data
D) Incorrect usage of loop",Correct Answer: A
"Why are tables useful?
A) Marks all items as invalid
B) They organize data for easy access, manipulation, and storage.
C) None of the above
D) Used to sort data",Correct Answer: B
"What is a flat table?
A) Initializes the dataset to empty
B) None of the above
C) It multiplies all values
D) A table where all information, even if repeated, is stored in each row.",Correct Answer: D
"What is a normalized table?
A) Initializes the dataset to empty
B) A structure using multiple linked tables to avoid data repetition.
C) It multiplies all values
D) It checks for even numbers only",Correct Answer: B
"What is a procedure?
A) Incorrect usage of loop
B) Initializes the dataset to empty
C) It reverses the loop
D) A reusable block of pseudocode for a specific task.",Correct Answer: D
