"Front";"Back";"Extra"
"In the student mentoring scenario, where a student can mentor another if their mark is 10 to 20 points higher, is it possible for Student A to mentor Student B, and for Student B to mentor Student C, all within the same subject?";"Correct: a)";"<b>Explanation:</b> This describes a path A -> B -> C. This is possible as long as the mark conditions are met for each step (e.g., A has 90, B has 75, C has 60). This is different from a cycle, which is impossible in a single subject.<br><b>Distractor Rationale:</b><ul><li>b) This statement is true. The scenario describes a valid sequence of mentoring relationships, not a logical contradiction.</li></ul>"
"In the student mentoring scenario, is it possible for Student A to mentor Student B in one subject (e.g., Maths), and for Student B to mentor Student A in a different subject (e.g., Physics)?";"Correct: a)";"<b>Explanation:</b> This is the fundamental concept of a 2-person study group discussed in the lecture. It requires Student A to have a higher score in one subject and Student B to have a higher score in another, which is a common and possible scenario.<br><b>Distractor Rationale:</b><ul><li>b) This is a key mechanism for forming study groups and is explicitly described as possible in the lecture materials.</li></ul>"
"In a directed graph representing mentoring relationships, what is the minimum number of nodes (students) required to form a cycle?";"Correct: b)";"<b>Explanation:</b> A cycle requires a path that starts and ends at the same node. The smallest possible cycle involves two nodes, A and B, with edges A -> B and B -> A. A single node cannot form a cycle with itself in this context.<br><b>Distractor Rationale:</b><ul><li>a) A single node cannot have an edge pointing to itself in the mentoring scenario, as the mark difference would be 0.</li><li>c) While a 3-node cycle is possible, it is not the minimum. A 2-node cycle is smaller.</li><li>d) Four nodes are not the minimum required.</li></ul>"
"In the student mentoring scenario, is it possible for a cycle of three students (A -> B -> C -> A) to be formed if they are all being mentored in the same single subject?";"Correct: b)";"<b>Explanation:</b> This is impossible. For this cycle to exist in one subject, it would require Marks(A) > Marks(B), Marks(B) > Marks(C), and Marks(C) > Marks(A). This creates a logical contradiction where a student's mark must be greater than itself.<br><b>Distractor Rationale:</b><ul><li>a) This statement is false due to the logical impossibility of A > B > C > A.</li></ul>"
"Consider a directed graph where a large cycle exists, such as A -> B -> C -> D -> A. If an additional direct edge from C to A also exists, does this create a new, smaller cycle within the original structure?";"Correct: a)";"<b>Explanation:</b> Yes. The path A -> B -> C combined with the new direct edge C -> A forms a new, self-contained cycle (A -> B -> C -> A) that exists within the larger connection pattern.<br><b>Distractor Rationale:</b><ul><li>b) The addition of the edge C -> A creates a shortcut, forming a valid, smaller cycle. It does not break any graph theory rules.</li></ul>"
"Between two students, A and B, and across three subjects (Maths, Physics, Chemistry), what is the maximum number of distinct 2-step study cycles (where A mentors B in one subject and B mentors A in another) that can possibly be formed?";"Correct: b)";"<b>Explanation:</b> A 2-cycle requires two different subjects. Let's list the possibilities for the (A->B subject, B->A subject) pairs: (Maths, Physics), (Maths, Chemistry), (Physics, Maths), (Physics, Chemistry), (Chemistry, Maths), and (Chemistry, Physics). This gives a total of 6 distinct possible cycles.<br><b>Distractor Rationale:</b><ul><li>a) 3 is too few; it only accounts for pairs of subjects, not the direction of mentoring.</li><li>c) 9 is too many; there are only 3 choices for the first edge and 2 for the second, leading to 3*2=6 combinations.</li><li>d) 12 is incorrect.</li></ul>"
"In a class of 30 students, assume the mentoring rule is simplified: a student can mentor anyone with a strictly lower score, regardless of the difference. What is the maximum number of mentoring relationships (either mentoring or being mentored) a single student can have across all 3 subjects?";"Correct: b)";"<b>Explanation:</b> A student can have a relationship with the 29 other students in the class. For each of these 29 students, a mentoring relationship (in either direction) could potentially exist in each of the 3 subjects. Therefore, the maximum number of possible relationship instances connected to one student is 29 * 3.<br><b>Distractor Rationale:</b><ul><li>a) A student cannot mentor or be mentored by themselves, so the calculation must be based on 29 other students, not 30.</li><li>c) This incorrectly assumes there are only 28 other students.</li><li>d) This incorrectly assumes there are only 27 other students.</li></ul>"
"When representing a directed graph of student relationships using an adjacency matrix M, what does the entry M[i][j] = 0 signify?";"Correct: c)";"<b>Explanation:</b> In the 0/1 matrix representation discussed, a '1' indicates the presence of an edge, and a '0' indicates its absence. Therefore, M[i][j] = 0 means there is no direct edge (relationship) from student i to student j.<br><b>Distractor Rationale:</b><ul><li>a) An edge from j to i would be represented by M[j][i] = 1.</li><li>b) An edge from i to j would be represented by M[i][j] = 1.</li><li>d) A value of 0 indicates the lack of a relationship, not the presence of one.</li></ul>"
"Given the following pseudocode:<br><pre>Procedure CreateMentorGraph(marks)\n  n = length(keys(marks))\n  mentorGraph = CreateMatrix(n,n)\n  foreach i in keys(marks) {\n    foreach j in keys(marks) {\n      ijMarksDiff = marks[i] - marks[j]\n      if (10 <= ijMarksDiff and ijMarksDiff <= 20) {\n        mentorGraph[i][j] = 1\n      }\n    }\n  }\n  return(mentorGraph)\nEnd Procedure</pre>What is the primary purpose of the line mentorGraph[i][j] = 1?";"Correct: a)";"<b>Explanation:</b> This line is executed only when the condition for mentoring is met. In the matrix representation of the graph, setting the value at [i][j] to 1 creates a directed edge from node i to node j, signifying that 'i can mentor j'.<br><b>Distractor Rationale:</b><ul><li>b) This would be represented by mentorGraph[j][i] = 1.</li><li>c) The procedure is creating a graph representing relationships, not calculating a score.</li><li>d) The value '1' signifies the presence of an edge, not its weight or strength.</li></ul>"
"In the context of the lecture, two students are defined as 'similar' if the absolute difference of their marks is less than 10 (i.e., 0-9 marks). For a 'similarity' edge to be drawn between them, what additional condition must be met?";"Correct: d)";"<b>Explanation:</b> The lecture defines similarity as a holistic measure. The condition of having a mark difference of less than 10 must be true for all three subjects (Maths, Physics, AND Chemistry) simultaneously.<br><b>Distractor Rationale:</b><ul><li>a) This is insufficient; the rule applies to all subjects, not just one.</li><li>b) This is also insufficient.</li><li>c) The relationship is symmetric (undirected), so if A is similar to B, B is similar to A. There's no directional condition.</li></ul>"
"In an undirected graph where an edge represents 'similarity' between two students, what defines a 'clique' of size 4?";"Correct: b)";"<b>Explanation:</b> A clique is a subset of vertices in a graph where every vertex is connected to every other vertex in the subset. For a clique of size 4, this means each of the 4 students must be similar to the other 3, resulting in a fully connected subgraph among them.<br><b>Distractor Rationale:</b><ul><li>a) This describes a path or a cycle, not a clique. A clique requires all possible connections, not just a loop.</li><li>c) A single student connected to 4 others does not guarantee those 4 are connected to each other.</li><li>d) This describes a 'star' formation, not a clique.</li></ul>"
