"Front";"Back";"Extra"
"Which of the following statements are correct regarding a matrix with 'm' rows and 'n' columns, as described in the lecture?<ul><li>a) It is a two-dimensional table.</li><li>b) It supports random access to its elements.</li><li>c) By convention, its rows and columns are numbered starting from 0.</li><li>d) All of the above.</li></ul>";"Correct: d)";"<b>Explanation:</b> The lecture defines a matrix as a two-dimensional table that supports random access (accessing any element matrix[i][j] takes a constant amount of time). It also explicitly states the convention of numbering rows from 0 to m-1 and columns from 0 to n-1.<br><b>Distractor Rationale:</b><ul><li>a) This is correct, but not the most complete answer.</li><li>b) This is correct, but not the most complete answer.</li><li>c) This is correct, but not the most complete answer.</li></ul>"
"For a matrix with 'm' rows and 'n' columns, represented as matrix[i][j], which of the following correctly defines the valid range for indices 'i' and 'j'?<ul><li>a) 0 ≤ i < m and 0 ≤ j < n</li><li>b) 1 ≤ i ≤ m and 1 ≤ j ≤ n</li><li>c) 0 ≤ i ≤ m and 0 ≤ j ≤ n</li><li>d) 0 ≤ i < m-1 and 0 ≤ j < n-1</li></ul>";"Correct: a)";"<b>Explanation:</b> The lecture follows the standard computing convention where collections are 0-indexed. For 'm' rows, the indices are 0, 1, ..., m-1, which is captured by 0 ≤ i < m. Similarly, for 'n' columns, the indices are 0, 1, ..., n-1, captured by 0 ≤ j < n.<br><b>Distractor Rationale:</b><ul><li>b) This represents 1-based indexing, which is common in mathematics but not in the context of this lecture's pseudocode.</li><li>c) This would imply 'm+1' rows and 'n+1' columns, which is incorrect.</li><li>d) This incorrectly excludes the last row (m-1) and the last column (n-1).</li></ul>"
"In the CreateMatrix procedure shown in the lecture, what is the default initial value assigned to each element mat[i][j]?<ul><li>a) 1</li><li>b) An empty dictionary {}</li><li>c) null</li><li>d) 0</li></ul>";"Correct: d)";"<b>Explanation:</b> The pseudocode for CreateMatrix contains the line mat[i][j] = 0 within its inner loop. This explicitly initializes every element of the newly created matrix to the value 0.<br><b>Distractor Rationale:</b><ul><li>a) The value is explicitly set to 0, not 1.</li><li>b) An empty dictionary is created for each row (mat[i] = {}), but not for each individual element.</li><li>c) The value is explicitly set to 0, not null.</li></ul>"
"Consider the following pseudocode:<br><pre>Procedure sumMatrix(M)
Sum = 0
foreach c in columns(M) {
foreach r in rows(M) {
if (c == r) {
Sum = Sum + M[r][c]
}
}
}
return(Sum)
End sumMatrix</pre>What does the variable Sum represent upon the procedure's completion?<ul><li>a) The summation of all elements in matrix M.</li><li>b) The summation of the principal diagonal elements of matrix M.</li><li>c) The summation of the anti-diagonal elements of matrix M.</li><li>d) The summation of the first row's elements.</li></ul>";"Correct: b)";"<b>Explanation:</b> The procedure iterates through all elements but only adds an element M[r][c] to Sum when the condition c == r (column index equals row index) is true. This condition is only met for elements on the principal diagonal (e.g., M[0][0], M[1][1], M[2][2]).<br><b>Distractor Rationale:</b><ul><li>a) To sum all elements, the if (c == r) condition would need to be removed.</li><li>c) The anti-diagonal would require a condition like r + c == n - 1, where n is the size of the matrix.</li><li>d) This would require a condition like r == 0.</li></ul>"
"In the sumMatrix pseudocode, if the if block were modified as follows:<br><pre>if (c > r) {
M[r][c] = 0
}</pre>What type of matrix would M become?<ul><li>a) An upper triangular matrix.</li><li>b) A lower triangular matrix.</li><li>c) A diagonal matrix.</li><li>d) An identity matrix.</li></ul>";"Correct: b)";"<b>Explanation:</b> The condition c > r identifies all elements where the column index is greater than the row index. These are precisely the elements located in the upper triangle of the matrix (above the main diagonal). Setting them to 0 leaves only the main diagonal and the lower triangle with their original values, thus forming a lower triangular matrix.<br><b>Distractor Rationale:</b><ul><li>a) An upper triangular matrix would be formed if the condition was r > c, setting the lower triangle elements to 0.</li><li>c) A diagonal matrix would require setting both the upper and lower triangles to 0 (r != c).</li><li>d) An identity matrix is a diagonal matrix with all diagonal elements being 1. This procedure only sets values to 0.</li></ul>"
"In the original sumMatrix pseudocode, what would be the effect of adding an exitloop statement inside the if block, immediately after Sum = Sum + M[r][c]?<ul><li>a) It will give the same value of Sum and reduce computing time.</li><li>b) It will give a different value of Sum.</li><li>c) It will give the same value of Sum but take more computing time.</li><li>d) It will cause a syntax error.</li></ul>";"Correct: a)";"<b>Explanation:</b> The if (c == r) condition is true only once for each iteration of the outer loop (the foreach c loop). Once the diagonal element for a given column c is found and added, the exitloop will terminate the inner foreach r loop. The outer loop will then proceed to the next column. Since there's only one element to find per inner loop, exiting early doesn't change the final sum but avoids unnecessary iterations, thus reducing computation time.<br><b>Distractor Rationale:</b><ul><li>b) The final sum will be identical because the loop is only exited after the required value has been added.</li><li>c) The computation time is reduced, not increased, by avoiding redundant checks.</li><li>d) exitloop is a valid construct in the context of the lecture's pseudocode.</li></ul>"
"Why is a nested dictionary a suitable data structure for implementing a matrix as discussed in the lecture?<ul><li>a) Because dictionaries store values in a sorted sequence.</li><li>b) Because the outer dictionary's keys can represent rows and the inner dictionary's keys can represent columns, providing two-dimensional random access.</li><li>c) Because dictionaries are the only way to store numerical data.</li><li>d) Because dictionaries prevent any modification to their values once created.</li></ul>";"Correct: b)";"<b>Explanation:</b> The lecture explains that a matrix can be implemented as a dictionary of dictionaries. matrix[i] accesses the outer dictionary to get the dictionary for row 'i'. Then, [j] accesses the inner dictionary to get the element at column 'j'. This structure naturally mimics the [row][column] access pattern and leverages the dictionary's random access capability.<br><b>Distractor Rationale:</b><ul><li>a) Dictionaries do not store keys or values in a guaranteed sorted order; a sort() procedure is needed for that.</li><li>c) Lists and other data structures can also store numerical data.</li><li>d) Dictionary values are mutable.</li></ul>"
"What is the primary purpose of the helper functions rows(M) and columns(M) as defined in the lecture?<ul><li>a) To count the total number of elements in the matrix M.</li><li>b) To return the list of row and column indices in a guaranteed ascending order for systematic processing.</li><li>c) To delete a specified row or column from the matrix M.</li><li>d) To return the raw, unsorted keys of the underlying dictionaries.</li></ul>";"Correct: b)";"<b>Explanation:</b> The lecture states that keys(d) produces a list in an arbitrary order. To ensure matrices are processed systematically (e.g., from row 0 to the last row), the rows() and columns() functions are introduced as shorthands for sort(keys(M)) and sort(keys(M[0])) respectively. This improves readability and guarantees order.<br><b>Distractor Rationale:</b><ul><li>a) The number of rows is length(rows(M)), but the function's primary purpose is to provide the ordered list of indices itself.</li><li>c) These are for iteration, not modification.</li><li>d) Their purpose is specifically to avoid the arbitrary order of raw keys by sorting them.</li></ul>"
"How is a directed edge from a student 'i' to a student 'j' represented in a mentoring graph matrix M?<ul><li>a) M[i][j] is set to 0 and M[j][i] is set to 1.</li><li>b) Both M[i][j] and M[j][i] are set to 1.</li><li>c) M[i][j] is set to 1.</li><li>d) The entire row i is set to 1.</li></ul>";"Correct: c)";"<b>Explanation:</b> The convention described is that M[i][j] = 1 represents a relationship from 'i' to 'j'. For a directed graph like the mentoring graph, this single entry is sufficient. M[j][i] = 1 would represent an edge in the opposite direction, from 'j' to 'i'.<br><b>Distractor Rationale:</b><ul><li>a) This incorrectly represents the relationship. M[i][j] = 0 would mean no edge from i to j.</li><li>b) This would represent an undirected edge, or two separate directed edges, one in each direction.</li><li>d) This would incorrectly imply that student 'i' has an edge to every other student.</li></ul>"
"In the CreateMentorGraph procedure, an edge is created from student i to student j if marks[i] - marks[j] is between 10 and 20. Why does this result in a directed graph?<ul><li>a) Because the procedure uses a matrix, and all matrices represent directed graphs.</li><li>b) Because if marks[i] is greater than marks[j], it is impossible for marks[j] to also be greater than marks[i].</li><li>c) Because the graph can only have a maximum of 20 edges.</li><li>d) Because the marks are stored in a dictionary.</li></ul>";"Correct: b)";"<b>Explanation:</b> The condition for an edge from i to j requires marks[i] > marks[j]. The condition for an edge from j to i would require marks[j] > marks[i]. These two conditions are mutually exclusive for any given pair of students in a single subject. Therefore, an edge can exist in one direction at most, which is the definition of a directed graph.<br><b>Distractor Rationale:</b><ul><li>a) Matrices can represent both directed and undirected graphs. An undirected graph would have a symmetric matrix where M[i][j] == M[j][i].</li><li>c) The number of edges is not what determines if a graph is directed.</li><li>d) The storage mechanism does not determine the graph's properties.</li></ul>"
