"Front";"Back";"Extra"
"Given the following pseudocode executing on a ""Scores"" table:<br>1 D = {}<br>2 while (Table 1 has more rows) {<br>3   Read the first row X in Table 1<br>4   D[X.SeqNo] = {""P"": X.Physics, ""C"": X.Chemistry, ""M"": X.Mathematics}<br>5   Move X to Table 2<br>6 }<br>7 <br>8 matrixPh = getAdjMatrix(D, ""P"")<br>9 matrixCh = getAdjMatrix(D, ""C"")<br>10 matrixMa = getAdjMatrix(D, ""M"")<br>11 <br>12 Procedure getAdjMatrix(D, Subject)<br>13   n = length(keys(D))<br>14   matrix = createMatrix(n, n)<br>15   foreach i in rows(matrix) {<br>16     foreach j in columns(matrix) {<br>17       if (i != j) {<br>18         diff = D[i][Subject] - D[j][Subject]<br>19         if (10 <= diff and diff <= 20) {<br>20           matrix[i][j] = 1<br>21         }<br>22       }<br>23     }<br>24   }<br>25   return(matrix)<br>26 End getAdjMatrix<br><br>If matrixPh[i][j] = 1, then:<ul><li>a) i scored at most 10 and at least 20 more marks in Physics than j</li><li>b) i scored at least 10 and at most 20 more marks in Physics than j</li><li>c) j scored at least 10 and at most 20 more marks in Physics than i</li><li>d) j scored at most 10 and at least 20 more marks in Physics than i</li></ul>";"Correct: b)";"<b>Explanation:</b> The condition if (10 <= diff and diff <= 20) where diff = D[i][Subject] - D[j][Subject] directly translates to student i's score being between 10 and 20 points higher than student j's score in the given subject.<br><b>Distractor Rationale:</b><ul><li>a) This inverts the logic of 'at least' and 'at most'.</li><li>c) This reverses the roles of i and j. If this were true, diff would be negative.</li><li>d) This reverses the roles of i and j and inverts the logic.</li></ul>"
"Based on the pseudocode from the previous question, which of the following statements is correct for the generated matrixPh?<ul><li>a) For all i, j with i != j, matrixPh[i][j] + matrixPh[j][i] = 1</li><li>b) For all i, j with i != j, if matrixPh[i][j] = 1 then matrixPh[j][i] = 0</li><li>c) For all i, j with i != j, if matrixPh[i][j] = 0 then matrixPh[j][i] = 1</li><li>d) For all i, j with i != j, if matrixPh[i][j] = 1 then matrixPh[j][i] = 1</li></ul>";"Correct: b)";"<b>Explanation:</b> If matrixPh[i][j] = 1, it means D[i]['P'] - D[j]['P'] is between 10 and 20. For matrixPh[j][i] to be 1, D[j]['P'] - D[i]['P'] would also need to be between 10 and 20. This is impossible, as if the first condition is true, the second expression must be negative (between -20 and -10). Therefore, if one is 1, the other must be 0. This describes an asymmetric relationship.<br><b>Distractor Rationale:</b><ul><li>a) This would imply that for any pair (i, j), exactly one of the directed edges exists. This is not guaranteed; it's possible neither score difference falls in the 10-20 range, so both could be 0.</li><li>c) This is the converse of (a) and is also not guaranteed. Both could be 0.</li><li>d) This would imply a symmetric relationship, which we have shown is not the case.</li></ul>"
"Consider the dictionary D and matrices from the previous questions. The following pseudocode generates a new matrix matrixHelp.<br>1 n = length(keys(D))<br>2 matrixHelp = createMatrix(n, n)<br>3 foreach i in rows(matrixHelp) {<br>4   foreach j in columns(matrixHelp) {<br>5     matrixHelp[i][j] = matrixCh[i][j] + matrixPh[i][j] + matrixMa[i][j]<br>6   }<br>7 }<br><br>Let i and j be indices of two students. Select all that apply.<ul><li>a) 0 <= matrixHelp[i][j] <= 3</li><li>b) matrixHelp[i][j] + matrixHelp[j][i] <= 3</li><li>c) matrixHelp[i][j] != matrixHelp[j][i]</li><li>d) if matrixHelp[i][j] = 3, then matrixHelp[j][i] = 0</li></ul>";"Correct: a), b), d)";"<b>Explanation:</b> matrixHelp[i][j] is the sum of three 0/1 values, so it must be between 0 and 3 (a). If student i helps student j in a subject, j cannot help i in the same subject. Therefore, the total number of help relationships between the two is the sum matrixHelp[i][j] + matrixHelp[j][i], which cannot exceed 3 (b). If matrixHelp[i][j] = 3, i helps j in all subjects, making it impossible for j to help i in any, so matrixHelp[j][i] must be 0 (d).<br><b>Distractor Rationale:</b><ul><li>c) It's possible that neither student can help the other in any subject, making both entries 0. In this case, they would be equal.</li></ul>"
"At the end of the following pseudocode, A captures the number of distinct pairs of students where there is any helping relationship, and B captures the number of distinct pairs where one student helps the other in all subjects. Choose the correct code fragment to complete the pseudocode.<br>1 A = 0, B = 0<br>2 foreach i in rows(matrixHelp) {<br>3   foreach j in columns(matrixHelp) {<br>4     if(i < j) {<br>5        *** Fill the code ***<br>6     }<br>7   }<br>8 }<ul><li>a) if(matrixHelp[i][j] > 0 and matrixHelp[j][i] > 0) { A = A + 1 }<br>if(matrixHelp[i][j] == 3) { B = B + 1 }</li><li>b) if(matrixHelp[i][j] > 0 or matrixHelp[j][i] > 0) { A = A + 1 }<br>if(matrixHelp[i][j] == 3 or matrixHelp[j][i] == 3) { B = B + 1 }</li><li>c) if(matrixHelp[i][j] > 0) { A = A + 1 }<br>if(matrixHelp[i][j] > 2) { B = B + 1 }</li><li>d) if(matrixHelp[i][j] > 0 and matrixHelp[j][i] > 0) { A = A + 1 }<br>if(matrixHelp[i][j] > 2 or matrixHelp[j][i] > 2) { B = B + 1 }</li></ul>";"Correct: b)";"<b>Explanation:</b> To count distinct pairs, the if(i < j) condition is essential. 'A' should count pairs with at least one helping relationship, which means matrixHelp[i][j] > 0 OR matrixHelp[j][i] > 0. 'B' should count pairs where one student helps the other in all three subjects, meaning matrixHelp[i][j] == 3 OR matrixHelp[j][i] == 3. Option (b) correctly implements this logic inside the i < j block.<br><b>Distractor Rationale:</b><ul><li>a) This uses 'and' for A, only counting pairs with mutual help. It also only checks one direction for B.</li><li>c) This only checks for help in one direction (i to j) for both A and B, undercounting the total.</li><li>d) This uses 'and' for A, only counting mutual help.</li></ul>"
"The following pseudocode generates a graph G from a dictionary books. There is an edge between two authors if they co-authored a book. What is the correct code fragment to build a symmetric adjacency matrix where the edge value is the number of co-authored books?<br>1 matrix = createMatrix(n, n)<br>2 foreach i in keys(books) {<br>3   foreach j in books[i] {<br>4     foreach k in books[i] {<br>5       *** Fill the code ***<br>6     }<br>7   }<br>8 }<ul><li>a) matrix[j][k] = matrix[j][k] + 1</li><li>b) if(j != k) {<br>  matrix[j][k] = matrix[j][k] + 1<br>}</li><li>c) if(j < k) {<br>  matrix[j][k] = matrix[j][k] + 1<br>  matrix[k][j] = matrix[k][j] + 1<br>}</li><li>d) if(j != k) {<br>  matrix[j][k] = 1<br>}</li></ul>";"Correct: c)";"<b>Explanation:</b> The goal is to create a symmetric matrix representing an undirected graph. The loops iterate through all pairs of authors (j, k) for a given book. The if(j < k) condition is the standard way to process each unique pair of authors exactly once, preventing both self-loops (j,j) and double-counting (processing both (j,k) and (k,j)). For each valid pair, we increment the count for both matrix[j][k] and matrix[k][j] to maintain the matrix's symmetry.<br><b>Distractor Rationale:</b><ul><li>a) This would incorrectly increment self-loops and would double-count the relationship for each book.</li><li>b) This correctly avoids self-loops but still double-counts the relationship for each book by processing both (j,k) and (k,j).</li><li>d) This would only set the value to 1, failing to count the number of co-authored books.</li></ul>"
"Given the books dictionary, what does matrix2[j][k] represent after this pseudocode executes?<br>1 matrix2 = createMatrix(n, n)<br>2 foreach j in rows(matrix2){<br>3   foreach k in columns(matrix2){<br>4     matrix2[j][k] = []<br>5   }<br>6 }<br>7 foreach i in keys(books) {<br>8   foreach j in books[i] {<br>9     foreach k in books[i] {<br>10      foreach h in books[i] {<br>11        if(j != k and j != h and k != h and not member(matrix2[j][k], h)) {<br>12          matrix2[j][k] = matrix2[j][k] + [h]<br>13          matrix2[k][j] = matrix2[k][j] + [h]<br>14        }<br>15      }<br>16    }<br>17  }<br>18 }<ul><li>a) List of authors who are common co-authors for the author pair (j, k).</li><li>b) List of books co-authored by the pair (j, k).</li><li>c) List of all authors in the dataset.</li><li>d) List of authors who co-authored a book with j but not k.</li></ul>";"Correct: a)";"<b>Explanation:</b> The code iterates through every book (i). For each book, it considers every unique triplet of authors (j, k, h). The if condition ensures that j, k, and h are distinct authors within the same book. If they are, it means h is a common co-author to both j and k on that book. The code then adds h to the list at matrix2[j][k]. By iterating through all books, it accumulates a list of all such common co-authors for every pair (j,k).<br><b>Distractor Rationale:</b><ul><li>b) The code adds author IDs (h), not book IDs (i), to the list.</li><li>c) The list is specific to the pair (j,k), not all authors.</li><li>d) The condition j != h and k != h ensures h is a co-author with both j and k in the context of the current book i.</li></ul>"
"Which of the following combinations of entries in matrix (co-authorship count) and matrix2 (common co-authors list) is possible for two different authors i and j? Select all that apply.<ul><li>a) matrix[i][j] = 0 and matrix2[i][j] = []</li><li>b) matrix[i][j] = 0 and matrix2[i][j] != []</li><li>c) matrix[i][j] > 0 and matrix2[i][j] = []</li><li>d) matrix[i][j] > 0 and matrix2[i][j] != []</li></ul>";"Correct: a), c), d)";"<b>Explanation:</b> If matrix[i][j] > 0, authors i and j have co-authored a book. If that book had only two authors (i and j), then matrix2[i][j] would be empty. If the book had a third author, h, then matrix2[i][j] would not be empty. If matrix[i][j] = 0, i and j have never co-authored a book, which means there can be no common third author h on a book they wrote together. Therefore, matrix2[i][j] must be empty.<br><b>Distractor Rationale:</b><ul><li>b) This is impossible. For matrix2[i][j] to be non-empty, there must be a third author h on a book that i and j co-authored. This would imply matrix[i][j] must be greater than 0.</li></ul>"
"The procedure findAuthor(matrix) should find an author who has the maximum number of co-authors. Choose the correct implementation(s). Select all that apply.<br><ul><li>a) 1 Procedure findAuthor(M)<br>2   Max = 0<br>3   A = 0<br>4   foreach i in rows(M) {<br>5     Sum = 0<br>6     foreach j in columns(M) {<br>7       if(M[i][j] > 0) {<br>8         Sum = Sum + 1<br>9       }<br>10    }<br>11    if(Sum > Max) {<br>12      Max = Sum<br>13      A = i<br>14    }<br>15  }<br>16  return(A)<br>17 End findAuthor</li><li>b) 1 Procedure findAuthor(M)<br>2   Max = 0<br>3   A = 0<br>4   foreach i in rows(M) {<br>5     Sum = 0<br>6     foreach j in columns(M) {<br>7       if(M[i][j] > 0) {<br>8         Sum = Sum + M[i][j]<br>9       }<br>10    }<br>11    if(Sum > Max) {<br>12      Max = Sum<br>13      A = i<br>14    }<br>15  }<br>16  return(A)<br>17 End findAuthor</li><li>c) 1 Procedure findAuthor(M)<br>2   Max = 0<br>3   A = 0<br>4   foreach i in columns(M) {<br>5     Sum = 0<br>6     foreach j in rows(M) {<br>7       if(M[j][i] > 0) {<br>8         Sum = Sum + 1<br>9       }<br>10    }<br>11    if(Sum > Max) {<br>12      Max = Sum<br>13      A = i<br>14    }<br>15  }<br>16  return(A)<br>17 End findAuthor</li></ul>";"Correct: a), c)";"<b>Explanation:</b> The goal is to count the number of distinct co-authors for each author i. This corresponds to the number of non-zero entries in row i (or column i, since the matrix is symmetric). Both (a) and (c) correctly iterate through authors and for each one, count the number of other authors j for whom M[i][j] (or M[j][i]) is greater than 0, effectively counting co-authors. They then keep track of the author with the maximum count.<br><b>Distractor Rationale:</b><ul><li>b) This procedure calculates Sum = Sum + M[i][j]. This sums the total number of co-authored books across all co-authors, not the number of distinct co-authors. An author who wrote 10 books with one person would rank higher than an author who wrote 1 book with 9 different people.</li></ul>"
"The following pseudocode uses a ""Shopping bills"" dataset. D is a dictionary mapping a customer index to a list of shops they visited. matrix[i][j] becomes a list of common shops visited by customers i and j. When will findGoodSet(matrix) return True?<br>1 Procedure findGoodSet(M)<br>2   foreach i in rows(M) {<br>3     foreach j in columns(M) {<br>4       foreach h in rows(M) {<br>5         list1 = []<br>6         if(length(M[i][j]) == 1 and member(D[h], first(M[i][j]))) {<br>7           list1 = list1 + M[i][j]<br>8         }<br>9         if(length(M[i][h]) == 1 and member(D[j], first(M[i][h]))) {<br>10          list1 = list1 + M[i][h]<br>11        }<br>12        if(length(M[j][h]) == 1 and member(D[i], first(M[j][h]))) {<br>13          list1 = list1 + M[j][h]<br>14        }<br>15        list1 = removeDuplicate(list1)<br>16        if(length(list1) == 1) {<br>17          return(True)<br>18        }<br>19      }<br>20    }<br>21  }<br>22  return(False)<br>23 End findGoodSet<ul><li>a) If there exist three customers who have visited all three shops.</li><li>b) If there exist three customers such that every pair of customers among them have visited only one and the same shop in common.</li><li>c) If there exist three customers who have visited exactly one shop.</li><li>d) If there exists three customers where each pair among them have visited exactly one different shop in common.</li></ul>";"Correct: b)";"<b>Explanation:</b> The procedure iterates through all triplets of customers (i, j, h). The first if checks if i and j have exactly one shop in common, AND customer h also visited that shop. The next two ifs do the same for pairs (i,h) and (j,h). list1 collects these common shops. The code returns True if, after removing duplicates, list1 has a length of 1. This means the single common shop for (i,j) is the same as the single common shop for (i,h) and the same as the single common shop for (j,h).<br><b>Distractor Rationale:</b><ul><li>a) This describes a different condition. The code checks for a single common shop between pairs, not that all three visited the same set of shops.</li><li>c) This is about the total shops visited by a customer, not the common shops between pairs.</li><li>d) This would result in length(list1) being 3 (or 2 if two pairs shared a common shop), not 1.</li></ul>"
"For a pair of customers i and j, j is a 'shopping partner' of i if they have visited at least two shops in common. findTopCustomer(matrix) should find a customer with the maximum number of shopping partners. Choose the correct implementation.<ul><li>a) 1 Procedure findTopCustomer(M)<br>2   Max=0, A=0<br>3   foreach i in rows(M){<br>4     c=0<br>5     foreach j in columns(M) {<br>6       if(length(M[i][j]) == 2) { c = c + 1 }<br>7     }<br>8     if(c > Max){ Max = c; A = i }<br>9   }<br>10  return(A)</li><li>b) 1 Procedure findTopCustomer(M)<br>2   Max=0, A=0<br>3   foreach i in rows(M) {<br>4     c=0<br>5     foreach j in columns(M) {<br>6       if(length(M[i][j]) > 1) { c = c + 1 }<br>7     }<br>8     if(c > Max){ Max = c; A = i }<br>9   }<br>10  return(A)</li><li>c) 1 Procedure findTopCustomer(M)<br>2   Max=0, A=0<br>3   foreach i in rows(M) {<br>4     c=0<br>5     foreach j in columns(M) {<br>6       if(length(M[i][j]) >= 2) { c = c + 1 }<br>7     }<br>8     if(c > Max){ Max = c; A = i }<br>9   }<br>10  return(A)</li><li>d) Both b) and c) are correct.</li></ul>";"Correct: d)";"<b>Explanation:</b> The definition of a shopping partner is having visited 'at least two' shops in common. For integer lengths, the conditions length > 1 and length >= 2 are logically equivalent. Both procedures (b) and (c) correctly implement this logic. They iterate through all potential partners j for a customer i, count how many meet the criterion, and keep track of the customer i with the maximum count.<br><b>Distractor Rationale:</b><ul><li>a) This uses == 2, which only counts partners with exactly two common shops, not 'at least two'.</li></ul>"
