"Front";"Back";"Extra"
"The following procedure counts the number of students from Mumbai whose total marks are more than the average total marks from the ""Scores"" dataset and stores it in variable A. Let avgT be the average total marks. The programmer may have made mistakes in one or more steps. Identify all such steps (if any). It is a Multiple Select Question (MSQ).<br><br>Step 1: Arrange all cards in a single pile called Pile 1<br>Step 2: Initialize variable A to 0<br>Step 3: If Pile 1 is empty then stop the iteration<br>Step 4: Read the top card in Pile 1<br>Step 5: If City Town == ""Mumbai"" and Total > avgT then add 1 to A<br>Step 6: Move the current card to another pile called Pile 2 and repeat from step 3<ul><li>a) Step 2</li><li>b) Step 4</li><li>c) Step 5</li><li>d) No mistake</li></ul>";"Correct: d)";"<b>Explanation:</b> The procedure correctly initializes the counter A to 0, iterates through the cards, and uses the correct conditional logic in Step 5 to check for students from Mumbai with total marks greater than the average. Step 6 correctly moves the current card to another pile and continues the iteration. Therefore, the procedure is free from mistakes.<br><b>Distractor Rationale:</b><ul><li>a) Step 2 is correct; the counter must be initialized to zero before counting begins.</li><li>b) Step 4 is a standard and necessary step for reading the next item in an iteration.</li><li>c) Step 5 correctly implements the specified logic using an 'and' condition to filter for both location and score.</li></ul>"
"The following procedure takes data from the ""Scores"" dataset and counts the number of female students whose Physics marks are more than their Chemistry marks but less than their Mathematics marks, storing the result in variable A. Identify all incorrect steps. It is a Multiple Select Question (MSQ).<br><br>Step 1: Arrange all cards in a single pile called Pile 1<br>Step 2: Initialize variable A to 1<br>Step 3: If Pile 1 is empty then stop the iteration<br>Step 4: Read the top card in Pile 1<br>Step 5: If Gender is 'F' and Mathematics marks < Physics marks and Chemistry marks < Physics marks then add 1 to A<br>Step 6: Move the current card to another pile called Pile 2 and repeat from step 3<ul><li>a) Step 2</li><li>b) Step 5</li><li>c) Step 6</li><li>d) No mistake</li></ul>";"Correct: a), b)";"<b>Explanation:</b> There are two mistakes. In Step 2, the counter variable A should be initialized to 0, not 1. In Step 5, the logical condition is incorrect. The requirement is Chemistry < Physics AND Physics < Mathematics, but the code checks if both Mathematics and Chemistry are less than Physics.<br><b>Distractor Rationale:</b><ul><li>a) Step 2 is incorrect because counters must start at 0 to ensure an accurate count.</li><li>b) Step 5 is incorrect because the logical conditions do not match the problem statement.</li><li>c) Step 6 is a standard part of the iteration process and is correct.</li></ul>"
"What will (A-B) represent after execution of the following procedure using the ""Shopping Bills"" dataset?<br><br>Step 1: Arrange all cards in a single pile called Pile 1<br>Step 2: Initialize variables A and B to 0<br>Step 3: If Pile 1 is empty then stop the iteration<br>Step 4: Read the top card in Pile 1<br>Step 5: If the bill contains an item ""Milk"" then add 1 to variable A<br>Step 6: If Name == ""Srivatsan"" and the bill contains an item ""Milk"", then add 1 to variable B<br>Step 7: Move the current card to another pile called Pile 2 and repeat from step 3<ul><li>a) Number of Srivatsan's bills which do not contain the item ""Milk""</li><li>b) Number of bills other than Srivatsan's which do not contain the item ""Milk""</li><li>c) Number of bills other than Srivatsan's which contain the item ""Milk""</li><li>d) Number of bills which contain the item ""Milk""</li></ul>";"Correct: c)";"<b>Explanation:</b> Variable A counts all bills containing ""Milk"". Variable B counts only Srivatsan's bills that contain ""Milk"". Therefore, subtracting B from A (A-B) results in the count of bills containing ""Milk"" that do not belong to Srivatsan.<br><b>Distractor Rationale:</b><ul><li>a) This would require a different logic, counting Srivatsan's bills and subtracting those with milk.</li><li>b) This describes a different subset of bills entirely.</li><li>d) This is represented by variable A alone, before the subtraction.</li></ul>"
"What will B represent after the execution of the following procedure using the ""Scores"" dataset?<br><br>Step 1: Arrange all cards in a single pile called Pile 1<br>Step 2: Initialize variables A and B to 0<br>Step 3: If Pile 1 is empty then stop the iteration<br>Step 4: Read the top card in Pile 1<br>Step 5: If Physics marks is not less than Mathematics marks then store (Physics marks - Mathematics marks) in A<br>Step 6: If A > B then store A in B<br>Step 7: Move the current card to another pile called Pile 2 and repeat from step 3<ul><li>a) The smallest difference where Physics marks are greater than or equal to Mathematics marks.</li><li>b) The name of the student with the highest Physics marks.</li><li>c) The maximum difference between Physics and Mathematics marks, for all students where Physics >= Mathematics.</li><li>d) The total number of students whose Physics marks are higher than their Mathematics marks.</li></ul>";"Correct: c)";"<b>Explanation:</b> The procedure calculates the difference between Physics and Mathematics marks for each student where Physics marks are greater than or equal to Mathematics marks (Step 5). It then continuously updates variable B to store the highest difference encountered so far (Step 6). Therefore, B will hold the maximum such difference found in the dataset.<br><b>Distractor Rationale:</b><ul><li>a) The logic If A > B then store A in B finds the maximum, not the minimum.</li><li>b) The procedure does not store any student names.</li><li>d) The procedure calculates a difference, it does not count students.</li></ul>"
"The given procedure is executed on the ""Scores"" dataset. What will min represent after execution of the procedure?<br><br>Step 1: Arrange all cards in a single pile called Pile 1<br>Step 2: Initialize variables A, B, C, and min to 1000<br>Step 3: If Pile 1 is empty then stop the iteration and go to step 9<br>Step 4: Read the top card in Pile 1<br>Step 5: If Mathematics marks < A then store Mathematics marks in A<br>Step 6: If Physics marks < B then store Physics marks in B<br>Step 7: If Chemistry marks < C then store Chemistry marks in C<br>Step 8: Move the current card to another pile called Pile 2 and repeat from step 3<br>Step 9: If A < B then store A in min otherwise store B in min<br>Step 10: If C < min then store C in min<ul><li>a) Lowest Mathematics marks</li><li>b) Lowest Physics marks</li><li>c) Lowest Chemistry marks</li><li>d) Lowest marks across all three subjects</li></ul>";"Correct: d)";"<b>Explanation:</b> Steps 5, 6, and 7 find the minimum marks for Mathematics, Physics, and Chemistry, storing them in A, B, and C respectively. Step 9 finds the minimum of A and B and stores it in min. Step 10 then compares this with C and updates min if C is lower. The end result is that min holds the lowest value among A, B, and C, which is the lowest mark across all subjects.<br><b>Distractor Rationale:</b><ul><li>a) This is stored in variable A.</li><li>b) This is stored in variable B.</li><li>c) This is stored in variable C.</li></ul>"
"The following pseudocode is executed using the ""Scores"" dataset. What will count represent at the end of the execution?<br><br>count = 0<br>while (Table 1 has more rows) {<br>  Read the first row X from Table 1<br>  c = 0<br>  if (X.Mathematics > 75) {<br>    c = c + 1<br>  }<br>  if(X.Physics > 75) {<br>    c = c + 1<br>  }<br>  if(X.Chemistry > 75) {<br>    c = c + 1<br>  }<br>  if(c <= 2) {<br>    count = count + 1<br>  }<br>  Move X to Table 2<br>}<ul><li>a) Number of students who scored more than 75 marks in at least two subjects</li><li>b) Number of students who scored more than 75 marks in exactly two subjects</li><li>c) Number of students who scored more than 75 marks in at most two subjects</li><li>d) Number of students who scored more than 75 marks in all three subjects</li></ul>";"Correct: c)";"<b>Explanation:</b> For each student, the variable c counts how many subjects have marks greater than 75. The final if(c <= 2) condition means the main count is incremented only if a student has scored above 75 in 0, 1, or 2 subjects. This is equivalent to 'at most two subjects'.<br><b>Distractor Rationale:</b><ul><li>a) This would be if(c >= 2).</li><li>b) This would be if(c == 2).</li><li>d) This would be if(c == 3).</li></ul>"
"The following procedure is executed using the ""Scores"" dataset. At the end of the execution, diff stores the difference between the highest and lowest total marks. Identify the incorrect step. <br><br>Step 1. Arrange all cards in a single pile called Pile 1<br>Step 2. Initialize variables max to 0, min to 300, and diff to 0<br>Step 3. If Pile 1 is empty then go to step 8<br>Step 4. Read the top card in Pile 1<br>Step 5. If Total < max then store Total in max<br>Step 6. If Total < min then store Total in min<br>Step 7. Move the current card to another pile called Pile 2 and repeat from step 3<br>Step 8. Update value of diff to (max - min)<ul><li>a) Step 2: Incorrect initialization of variable max</li><li>b) Step 2: Incorrect initialization of variable min</li><li>c) Step 3: The statement should be ""If Pile 1 is empty then stop the iteration""</li><li>d) Step 5: Incorrect conditional statement to update max</li></ul>";"Correct: d)";"<b>Explanation:</b> Step 5 contains an incorrect conditional statement. To find the maximum value, the condition should check if the current Total is greater than max (i.e., If Total > max). The current logic If Total < max will never update the max variable after the first card is read, because max is initialized to 0 and subsequent totals will be higher.<br><b>Distractor Rationale:</b><ul><li>a) Initializing max to 0 is a standard and correct practice for finding a maximum among positive numbers.</li><li>b) Initializing min to 300 (the maximum possible score) is a correct way to ensure the first real score becomes the initial minimum.</li><li>c) While ""stop the iteration"" is also valid, ""go to step 8"" achieves the same outcome of exiting the loop to perform the final calculation.</li></ul>"
"The following procedure is executed using the ""Words"" dataset. What will A represent at the end of the execution?<br><br>Step 1. Arrange all cards in a single pile called Pile 1<br>Step 2. Maintain two variables A, B and initialize them to 0<br>Step 3. If Pile 1 is empty then stop the iteration<br>Step 4. Read the top card in Pile 1<br>Step 5. Increment variable B<br>Step 6. If Word does not end with a full stop then execute step 9<br>Step 7. If Word ends with a full stop and B > A then store B in A<br>Step 8. Re-initialize the variable B to 0<br>Step 9. Move the current card to another pile called Pile 2 and repeat from step 3<ul><li>a) Length of the shortest sentence based on the number of words</li><li>b) Length of the longest sentence based on the number of words</li><li>c) Length of the longest sentence based on the number of letters</li><li>d) Total number of words in the dataset</li></ul>";"Correct: b)";"<b>Explanation:</b> Variable B is used as a counter for words within a single sentence; it increments for each word (Step 5) and resets to 0 at the end of a sentence (Step 8). Variable A is only updated when the word count of a completed sentence (B) is greater than the current value of A (Step 7). This is the standard algorithm for finding a maximum value. Therefore, A stores the length of the longest sentence in terms of word count.<br><b>Distractor Rationale:</b><ul><li>a) The logic B > A finds a maximum, not a minimum.</li><li>c) The procedure counts words (by incrementing B per card), not letters.</li><li>d) This would be achieved by simply incrementing a single counter without ever resetting it.</li></ul>"
"The given pseudocode is executed using the ""Words"" dataset. At the end of the execution, count finds the number of sentences with the least number of words. Choose the correct option to complete the pseudocode.<br><br>count = 0, A = 0, B = 100000<br>while (Pile 1 has more cards) {<br>  Read the top card X from Pile 1<br>  A = A + 1<br>  if (X.Word ends with full stop) {<br>    if(A == B) {<br>      *** Statement 1 ***<br>    }<br>    if(A < B) {<br>      B = A<br>      *** Statement 2 ***<br>    }<br>    A = 0<br>  }<br>  Move X to Pile 2<br>}<ul><li>a) Statement 1: count = 1, Statement 2: A = A + 1</li><li>b) Statement 1: count = 1, Statement 2: count = count + 1</li><li>c) Statement 1: count = count + 1, Statement 2: count = 1</li><li>d) Statement 1: count = count + 1, Statement 2: A = 1</li></ul>";"Correct: c)";"<b>Explanation:</b> The goal is to count sentences with the minimum length. Variable B tracks the minimum length found so far. When a new shorter sentence is found (A < B), the minimum length B is updated, and the count of such sentences must be reset to 1 (Statement 2). If a sentence is found with a length equal to the current minimum (A == B), the count must be incremented (Statement 1).<br><b>Distractor Rationale:</b><ul><li>a) Statement 1 is wrong; it should increment, not reset. Statement 2 is wrong; it should reset the count, not modify the word counter A.</li><li>b) Both statements are incorrect for their respective positions.</li><li>d) Statement 2 is incorrect; it should reset the count, not the word counter A.</li></ul>"
"What is a primary advantage of using pseudocode over flowcharts for designing complex computational processes?<ul><li>a) Pseudocode is more visual and easier for non-technical stakeholders to understand.</li><li>b) Pseudocode is better for representing simple, linear processes without decisions.</li><li>c) Pseudocode is text-based, making it easier to edit, share, and manage versions collaboratively.</li><li>d) Flowcharts can represent loops more effectively than pseudocode.</li></ul>";"Correct: c)";"<b>Explanation:</b> Because pseudocode is text, it can be easily edited in any text editor, shared via email or version control systems (like Git), and changes between versions can be tracked precisely. Flowcharts, being graphical, are much harder to edit collaboratively and version tracking is significantly more difficult.<br><b>Distractor Rationale:</b><ul><li>a) Flowcharts are generally considered more visual and easier for non-technical stakeholders.</li><li>b) Both are capable of representing simple processes; this is not a unique advantage of pseudocode.</li><li>d) Pseudocode constructs like while and for loops are extremely effective and clear for representing iteration.</li></ul>"
