"<div style='text-align: left;'>What does rest(rest([1,2,3,4])) return?</div>";"<div style='text-align: left;'>[3, 4]</div>";"<div style='text-align: left;'>The rest function removes the first element. Twice applied, it removes the first two.</div>"
"<div style='text-align: left;'>In grade partitioning, why do we need scores sorted before assigning quartiles?</div>";"<div style='text-align: left;'>To ensure correct rank-based grading</div>";"<div style='text-align: left;'>Quartile grading depends on score position.</div>"
"<div style='text-align: left;'>Which line is incorrect in this pseudocode? U = U ++ x where x is not a list.</div>";"<div style='text-align: left;'>Line with 'U = U ++ x'</div>";"<div style='text-align: left;'>You cannot concatenate a list and a non-list using ++. x should be wrapped as [x].</div>"
"<div style='text-align: left;'>In the pseudocode checking if x belongs to both A and B, what logical connector is needed?</div>";"<div style='text-align: left;'>and</div>";"<div style='text-align: left;'>To confirm membership in both, the correct logical operator is 'and'.</div>"
"<div style='text-align: left;'>What does InsertionSort([4, 2, 5]) return using SortedListInsert?</div>";"<div style='text-align: left;'>[2, 4, 5]</div>";"<div style='text-align: left;'>Each item is inserted in a way that maintains order.</div>"
"<div style='text-align: left;'>What is the time complexity of InsertionSort in worst-case?</div>";"<div style='text-align: left;'>O(n^2)</div>";"<div style='text-align: left;'>For each element, it may scan through the entire sorted list built so far.</div>"
"<div style='text-align: left;'>What will 'first(last([[2,3],[4,5],[6,7]]))' return?</div>";"<div style='text-align: left;'>6</div>";"<div style='text-align: left;'>last(...) gives [6,7]; first of that is 6.</div>"
"<div style='text-align: left;'>If a hypothesis compares two subject grades, what data structure is useful for confirming overlap?</div>";"<div style='text-align: left;'>Sets or lists with member checking</div>";"<div style='text-align: left;'>To test overlap, we can use member() logic or set intersection.</div>"
"<div style='text-align: left;'>What is the base case for a recursive function that processes a list?</div>";"<div style='text-align: left;'>An empty list</div>";"<div style='text-align: left;'>The function stops when the list has no more elements to process.</div>"
"<div style='text-align: left;'>How would you get the third element of a list L?</div>";"<div style='text-align: left;'>first(rest(rest(L)))</div>";"<div style='text-align: left;'>Applying rest twice discards the first two elements, then first gets the new head.</div>"
"<div style='text-align: left;'>What is the purpose of 'member(x, L)' function?</div>";"<div style='text-align: left;'>To check if element x is in list L</div>";"<div style='text-align: left;'>It returns true if x is found, otherwise false.</div>"
