"Front";"Back";"Extra"
"<b>What does SortedListInsert([4, 7, 9], 8) return?</b><br><br>a) [4, 7, 8, 9]<br>b) [4, 8, 7, 9]<br>c) [4, 7, 9, 8]<br>d) [8, 4, 7, 9]";"[4, 7, 8, 9]";"<b>Explanation:</b> 8 is inserted before 9 to maintain sort order.<br><br><b>Correct Answer(s):</b> [4, 7, 8, 9]"
"<b>What is the worst-case time complexity of repeatedly using SortedListInsert to sort n elements?</b><br><br>a) O(n)<br>b) O(n log n)<br>c) O(n^2)<br>d) O(1)";"O(n^2)";"<b>Explanation:</b> Each insert can take up to n steps. Repeating for n elements leads to O(n^2).<br><br><b>Correct Answer(s):</b> O(n^2)"
"<b>If list is [1, 3, 5, 7] and x = 0, where is x inserted by SortedListInsert?</b><br><br>a) At the end<br>b) At index 0<br>c) After 1<br>d) Before 5";"At index 0";"<b>Explanation:</b> Since 0 is less than all values, it is inserted at the start.<br><br><b>Correct Answer(s):</b> At index 0"
"<b>What is the result of InsertionSort([6, 4, 2])?</b><br><br>a) [2, 4, 6]<br>b) [6, 4, 2]<br>c) [4, 2, 6]<br>d) [6, 2, 4]";"[2, 4, 6]";"<b>Explanation:</b> Each element is inserted in the right place, keeping the list sorted.<br><br><b>Correct Answer(s):</b> [2, 4, 6]"
"<b>Which invariant holds during each iteration of InsertionSort?</b><br><br>a) The list becomes reverse sorted<br>b) The first part of the list is always sorted<br>c) The list contains no duplicates<br>d) The inserted element goes to the end";"The first part of the list is always sorted";"<b>Explanation:</b> InsertionSort maintains a sorted sublist at the beginning.<br><br><b>Correct Answer(s):</b> The first part of the list is always sorted"
"<b>What do 'confirm' and 'reject' lists represent in hypothesis testing pseudocode?</b><br><br>a) Sorting results<br>b) Students who pass/fail<br>c) Matching and mismatching IDs<br>d) Quartile scores";"Matching and mismatching IDs";"<b>Explanation:</b> 'Confirm' holds IDs that match the hypothesis, 'Reject' holds those that don't.<br><br><b>Correct Answer(s):</b> Matching and mismatching IDs"
"<b>Which data structure is best for checking if a student ID exists in a large dataset of 10,000 students?</b><br><br>a) A sorted list<br>b) A set or hash map<br>c) An unsorted list<br>d) A queue";"A set or hash map";"<b>Explanation:</b> Sets/hash maps provide average O(1) lookup time, which is most efficient for large datasets.<br><br><b>Correct Answer(s):</b> A set or hash map"
"<b>How do you get the second element from a list L using 'first' and 'rest'?</b><br><br>a) first(rest(L))<br>b) rest(first(L))<br>c) rest(rest(L))<br>d) first(first(L))";"first(rest(L))";"<b>Explanation:</b> rest(L) gives the tail of the list, and first() of that tail is the second element.<br><br><b>Correct Answer(s):</b> first(rest(L))"
"<b>What is the base case for a recursive function that finds the length of a list?</b><br><br>a) When the list has one element<br>b) When the list is empty<br>c) When the list is sorted<br>d) It has no base case";"When the list is empty";"<b>Explanation:</b> An empty list has a length of 0, which terminates the recursion.<br><br><b>Correct Answer(s):</b> When the list is empty"
"<b>What is the primary purpose of sorting a list of grades before assigning quartiles?</b><br><br>a) To make the list easier to read<br>b) To ensure quartiles are based on rank<br>c) To remove duplicate scores<br>d) To speed up the program";"To ensure quartiles are based on rank";"<b>Explanation:</b> Quartiles are rank-based divisions, so the data must be sorted first.<br><br><b>Correct Answer(s):</b> To ensure quartiles are based on rank"
"<b>What will 'member(5, [1, [5], 3])' return?</b><br><br>a) True<br>b) False<br>c) Error<br>d) 1";"False";"<b>Explanation:</b> The list contains the list [5], not the number 5 as a direct element.<br><br><b>Correct Answer(s):</b> False"
"<b>What is the result of 'last([1, 2, 3, 4])'?</b><br><br>a) 1<br>b) 4<br>c) [4]<br>d) 3";"4";"<b>Explanation:</b> The 'last' function returns the final element of a list.<br><br><b>Correct Answer(s):</b> 4"
"<b>If you build a list by appending elements to the end, what is the complexity of adding one element?</b><br><br>a) O(1)<br>b) O(log n)<br>c) O(n)<br>d) O(n^2)";"O(n)";"<b>Explanation:</b> To append, you must traverse the entire list to find the end, making it an O(n) operation.<br><br><b>Correct Answer(s):</b> O(n)"
"<b>Which operation is faster for linked lists?</b><br><br>a) Appending to the end<br>b) Prepending to the beginning<br>c) Accessing the 50th element<br>d) Finding the median";"Prepending to the beginning";"<b>Explanation:</b> Prepending (adding to the head) is an O(1) operation as it only requires updating the head pointer.<br><br><b>Correct Answer(s):</b> Prepending to the beginning"
"<b>What is the best-case time complexity for InsertionSort?</b><br><br>a) O(n^2)<br>b) O(n log n)<br>c) O(n)<br>d) O(1)";"O(n)";"<b>Explanation:</b> The best case occurs when the list is already sorted. Each element is compared only once.<br><br><b>Correct Answer(s):</b> O(n)"
"<b>In the expression 'U = U ++ [x]', what is the type of U and [x]?</b><br><br>a) Both are elements<br>b) Both are lists<br>c) U is a list, [x] is an element<br>d) U is an element, [x] is a list";"Both are lists";"<b>Explanation:</b> The '++' operator concatenates two lists. [x] creates a list containing the single element x.<br><br><b>Correct Answer(s):</b> Both are lists"
"<b>What does 'first(rest(rest([10, 20, 30, 40])))' return?</b><br><br>a) 10<br>b) 20<br>c) 30<br>d) 40";"30";"<b>Explanation:</b> rest() is applied twice, resulting in [30, 40]. 'first' of that is 30.<br><br><b>Correct Answer(s):</b> 30"
"<b>What is a predicate in the context of list filtering?</b><br><br>a) The list itself<br>b) A function that returns a boolean value<br>c) The first element of the list<br>d) A sorted list";"A function that returns a boolean value";"<b>Explanation:</b> A predicate is a function used to test elements for a certain condition (evaluating to true or false).<br><br><b>Correct Answer(s):</b> A function that returns a boolean value"
"<b>What is the defining property of a set?</b><br><br>a) All elements are sorted<br>b) It can contain lists<br>c) All elements are unique<br>d) It has a fixed size";"All elements are unique";"<b>Explanation:</b> Sets are collections of distinct elements; duplicates are not allowed.<br><br><b>Correct Answer(s):</b> All elements are unique"
