Front;Back;Extra
"<b>QX:</b> 
<pre>
1.  Procedure Insert(X, books)
2.    inserted = False
3.    sBooks = []
4.    foreach Y in books {
5.      if (X.Pages <= last(Y)) {
6.        sBooks = sBooks ++ [X]
7.        inserted = True
8.      }
9.      sBooks = sBooks ++ [Y]
10.   }
11.   if (inserted == False) {
12.     sBooks = sBooks ++ [X]
13.   }
14.   return sBooks
15. End Procedure
</pre>
Which line appends X to sBooks if it wasn’t inserted earlier in the loop?<br><ul><li>a) Line 6</li><li>b) Line 9</li><li>c) Line 11</li><li>d) Line 14</li></ul>";Correct: c);<b>Explanation:</b> Line 11 is executed only if 'inserted' is False after the loop.
"<b>QX:</b> 
<pre>
1.  Procedure Insert(X, books)
2.    inserted = False
3.    sBooks = []
4.    foreach Y in books {
5.      if (X.Pages <= last(Y)) {
6.        sBooks = sBooks ++ [X]
7.        inserted = True
8.      }
9.      sBooks = sBooks ++ [Y]
10.   }
11.   if (inserted == False) {
12.     sBooks = sBooks ++ [X]
13.   }
14.   return sBooks
15. End Procedure
</pre>
Which line appends X to sBooks if it wasn’t inserted earlier in the loop?<br><ul><li>a) Line 6</li><li>b) Line 9</li><li>c) Line 11</li><li>d) Line 14</li></ul>";Correct: c);<b>Explanation:</b> Line 11 is executed only if 'inserted' is False after the loop.
"<b>QX:</b> 
<pre>
1.  Procedure Insert(X, books)
2.    inserted = False
3.    sBooks = []
4.    foreach Y in books {
5.      if (X.Pages <= last(Y)) {
6.        sBooks = sBooks ++ [X]
7.        inserted = True
8.      }
9.      sBooks = sBooks ++ [Y]
10.   }
11.   if (inserted == False) {
12.     sBooks = sBooks ++ [X]
13.   }
14.   return sBooks
15. End Procedure
</pre>
Which line appends X to sBooks if it wasn’t inserted earlier in the loop?<br><ul><li>a) Line 6</li><li>b) Line 9</li><li>c) Line 11</li><li>d) Line 14</li></ul>";Correct: c);<b>Explanation:</b> Line 11 is executed only if 'inserted' is False after the loop.
"<b>QX:</b> 
<pre>
1.  Procedure Insert(X, books)
2.    inserted = False
3.    sBooks = []
4.    foreach Y in books {
5.      if (X.Pages <= last(Y)) {
6.        sBooks = sBooks ++ [X]
7.        inserted = True
8.      }
9.      sBooks = sBooks ++ [Y]
10.   }
11.   if (inserted == False) {
12.     sBooks = sBooks ++ [X]
13.   }
14.   return sBooks
15. End Procedure
</pre>
Which line appends X to sBooks if it wasn’t inserted earlier in the loop?<br><ul><li>a) Line 6</li><li>b) Line 9</li><li>c) Line 11</li><li>d) Line 14</li></ul>";Correct: c);<b>Explanation:</b> Line 11 is executed only if 'inserted' is False after the loop.
"<b>QX:</b> 
<pre>
1.  Procedure Insert(X, books)
2.    inserted = False
3.    sBooks = []
4.    foreach Y in books {
5.      if (X.Pages <= last(Y)) {
6.        sBooks = sBooks ++ [X]
7.        inserted = True
8.      }
9.      sBooks = sBooks ++ [Y]
10.   }
11.   if (inserted == False) {
12.     sBooks = sBooks ++ [X]
13.   }
14.   return sBooks
15. End Procedure
</pre>
Which line appends X to sBooks if it wasn’t inserted earlier in the loop?<br><ul><li>a) Line 6</li><li>b) Line 9</li><li>c) Line 11</li><li>d) Line 14</li></ul>";Correct: c);<b>Explanation:</b> Line 11 is executed only if 'inserted' is False after the loop.
"<b>QX:</b> 
<pre>
1.  Procedure Insert(X, books)
2.    inserted = False
3.    sBooks = []
4.    foreach Y in books {
5.      if (X.Pages <= last(Y)) {
6.        sBooks = sBooks ++ [X]
7.        inserted = True
8.      }
9.      sBooks = sBooks ++ [Y]
10.   }
11.   if (inserted == False) {
12.     sBooks = sBooks ++ [X]
13.   }
14.   return sBooks
15. End Procedure
</pre>
Which line appends X to sBooks if it wasn’t inserted earlier in the loop?<br><ul><li>a) Line 6</li><li>b) Line 9</li><li>c) Line 11</li><li>d) Line 14</li></ul>";Correct: c);<b>Explanation:</b> Line 11 is executed only if 'inserted' is False after the loop.
"<b>QX:</b> 
<pre>
1.  Procedure Insert(X, books)
2.    inserted = False
3.    sBooks = []
4.    foreach Y in books {
5.      if (X.Pages <= last(Y)) {
6.        sBooks = sBooks ++ [X]
7.        inserted = True
8.      }
9.      sBooks = sBooks ++ [Y]
10.   }
11.   if (inserted == False) {
12.     sBooks = sBooks ++ [X]
13.   }
14.   return sBooks
15. End Procedure
</pre>
Which line appends X to sBooks if it wasn’t inserted earlier in the loop?<br><ul><li>a) Line 6</li><li>b) Line 9</li><li>c) Line 11</li><li>d) Line 14</li></ul>";Correct: c);<b>Explanation:</b> Line 11 is executed only if 'inserted' is False after the loop.
"<b>QX:</b> 
<pre>
1.  Procedure Insert(X, books)
2.    inserted = False
3.    sBooks = []
4.    foreach Y in books {
5.      if (X.Pages <= last(Y)) {
6.        sBooks = sBooks ++ [X]
7.        inserted = True
8.      }
9.      sBooks = sBooks ++ [Y]
10.   }
11.   if (inserted == False) {
12.     sBooks = sBooks ++ [X]
13.   }
14.   return sBooks
15. End Procedure
</pre>
Which line appends X to sBooks if it wasn’t inserted earlier in the loop?<br><ul><li>a) Line 6</li><li>b) Line 9</li><li>c) Line 11</li><li>d) Line 14</li></ul>";Correct: c);<b>Explanation:</b> Line 11 is executed only if 'inserted' is False after the loop.
"<b>QX:</b> 
<pre>
1.  Procedure Insert(X, books)
2.    inserted = False
3.    sBooks = []
4.    foreach Y in books {
5.      if (X.Pages <= last(Y)) {
6.        sBooks = sBooks ++ [X]
7.        inserted = True
8.      }
9.      sBooks = sBooks ++ [Y]
10.   }
11.   if (inserted == False) {
12.     sBooks = sBooks ++ [X]
13.   }
14.   return sBooks
15. End Procedure
</pre>
Which line appends X to sBooks if it wasn’t inserted earlier in the loop?<br><ul><li>a) Line 6</li><li>b) Line 9</li><li>c) Line 11</li><li>d) Line 14</li></ul>";Correct: c);<b>Explanation:</b> Line 11 is executed only if 'inserted' is False after the loop.
"<b>QX:</b> 
<pre>
1.  Procedure Insert(X, books)
2.    inserted = False
3.    sBooks = []
4.    foreach Y in books {
5.      if (X.Pages <= last(Y)) {
6.        sBooks = sBooks ++ [X]
7.        inserted = True
8.      }
9.      sBooks = sBooks ++ [Y]
10.   }
11.   if (inserted == False) {
12.     sBooks = sBooks ++ [X]
13.   }
14.   return sBooks
15. End Procedure
</pre>
Which line appends X to sBooks if it wasn’t inserted earlier in the loop?<br><ul><li>a) Line 6</li><li>b) Line 9</li><li>c) Line 11</li><li>d) Line 14</li></ul>";Correct: c);<b>Explanation:</b> Line 11 is executed only if 'inserted' is False after the loop.
