Front;Back;Extra
"<b>Q2:</b> The following pseudocode implements a grade assignment procedure. Which statements are TRUE about it?<br><br>
<pre>
Procedure SimpleGradeAssignment(l)
  q4 = classSize / 4
  q3 = classSize / 2
  q2 = 3 * classSize / 4
  gradeA, B, C, D = [], [], [], []
  position = 0
  foreach x in l {
    if (position > q2) { gradeA = gradeA ++ [first(x)] }
    else if (position > q3) { gradeB = gradeB ++ [first(x)] }
    else if (position > q4) { gradeC = gradeC ++ [first(x)] }
    else { gradeD = gradeD ++ [first(x)] }
    position = position + 1
  }
End Procedure
</pre>";<ul><li>Position 0 always maps to grade D</li><li>The quartile boundaries must be recalculated if classSize changes</li><li>A student in position > q2 will always get grade A</li></ul>;The mapping is based on position in the sorted list. First item goes to gradeD. The quartile values depend on class size. (Varied form)
"<b>Q3:</b> Identify all lines/statements that are correct applications of the function <code>SortedListInsert</code>?<br><br>
<pre>
Procedure SortedListInsert(l, x)
  newList = []
  inserted = False
  foreach z in l {
    if (not(inserted) and x < z) {
      newList = newList ++ [x]
      inserted = True
    }
    newList = newList ++ [z]
  }
  if (not(inserted)) {
    newList = newList ++ [x]
  }
  return(newList)
End Procedure
</pre>";<ul><li>It maintains ascending order</li><li>Inserting into an empty list gives a list with one element</li><li>Duplicates are allowed</li></ul>;This procedure inserts x into the first position where x < z holds true, or appends at the end. It doesn’t remove duplicates. (Varied form)
"<b>Q3:</b> Identify all lines/statements that are correct applications of the function <code>SortedListInsert</code>?<br><br>
<pre>
Procedure SortedListInsert(l, x)
  newList = []
  inserted = False
  foreach z in l {
    if (not(inserted) and x < z) {
      newList = newList ++ [x]
      inserted = True
    }
    newList = newList ++ [z]
  }
  if (not(inserted)) {
    newList = newList ++ [x]
  }
  return(newList)
End Procedure
</pre>";<ul><li>It maintains ascending order</li><li>Inserting into an empty list gives a list with one element</li><li>Duplicates are allowed</li></ul>;This procedure inserts x into the first position where x < z holds true, or appends at the end. It doesn’t remove duplicates. (Varied form)
"<b>Q1:</b> Identify all lines/statements that lines in the pseudocode <code>Insert</code> will always execute at least once when inserting into a non-empty <i>books</i> list?<br><br>
<pre>
Procedure Insert(X, books)
  sBooks = []
  inserted = False
  foreach Y in books {
    if (X.Pages <= last(Y) and not(inserted)) {
      sBooks = sBooks ++ [[X.SeqNo, X.Pages]]
      inserted = True
    }
    sBooks = sBooks ++ [Y]
  }
  if (not(inserted)) {
    sBooks = sBooks ++ [[X.SeqNo, X.Pages]]
  }
  return(sBooks)
End Procedure
</pre>";<ul><li>Line 4</li><li>Line 9</li><li>Line 11</li></ul>;In any call to Insert with a non-empty list, the foreach loop executes, so line 4 runs at least once. Line 9 executes for each element. If X is inserted at the end, Line 11 also executes. (Varied form)
<b>QX:</b> In the hypothesis pseudocode, which condition places an ID into <code>confirm</code>?;The ID is in mathsBGrades and in (physicsAGrades or physicsBGrades);<b>Explanation:</b> The pseudocode checks if a student is in mathsBGrades AND (physicsAGrades OR physicsBGrades).
"<b>Q2:</b> The following pseudocode implements a grade assignment procedure. Which statements are TRUE about it?<br><br>
<pre>
Procedure SimpleGradeAssignment(l)
  q4 = classSize / 4
  q3 = classSize / 2
  q2 = 3 * classSize / 4
  gradeA, B, C, D = [], [], [], []
  position = 0
  foreach x in l {
    if (position > q2) { gradeA = gradeA ++ [first(x)] }
    else if (position > q3) { gradeB = gradeB ++ [first(x)] }
    else if (position > q4) { gradeC = gradeC ++ [first(x)] }
    else { gradeD = gradeD ++ [first(x)] }
    position = position + 1
  }
End Procedure
</pre>";<ul><li>Position 0 always maps to grade D</li><li>The quartile boundaries must be recalculated if classSize changes</li><li>A student in position > q2 will always get grade A</li></ul>;The mapping is based on position in the sorted list. First item goes to gradeD. The quartile values depend on class size. (Varied form)
"<b>Q2:</b> The following pseudocode implements a grade assignment procedure. Which statements are TRUE about it?<br><br>
<pre>
Procedure SimpleGradeAssignment(l)
  q4 = classSize / 4
  q3 = classSize / 2
  q2 = 3 * classSize / 4
  gradeA, B, C, D = [], [], [], []
  position = 0
  foreach x in l {
    if (position > q2) { gradeA = gradeA ++ [first(x)] }
    else if (position > q3) { gradeB = gradeB ++ [first(x)] }
    else if (position > q4) { gradeC = gradeC ++ [first(x)] }
    else { gradeD = gradeD ++ [first(x)] }
    position = position + 1
  }
End Procedure
</pre>";<ul><li>Position 0 always maps to grade D</li><li>The quartile boundaries must be recalculated if classSize changes</li><li>A student in position > q2 will always get grade A</li></ul>;The mapping is based on position in the sorted list. First item goes to gradeD. The quartile values depend on class size. (Varied form)
"<b>QX:</b> What is the output of the following pseudocode?<br>
<pre>
l = [5, 3, 4]
sorted = []
foreach x in l {
  sorted = SortedListInsert(sorted, x)
}
</pre>";[3, 4, 5];<b>Explanation:</b> This is InsertionSort using SortedListInsert. Each element is inserted in sorted order.
"<b>Q2:</b> The following pseudocode implements a grade assignment procedure. Which statements are TRUE about it?<br><br>
<pre>
Procedure SimpleGradeAssignment(l)
  q4 = classSize / 4
  q3 = classSize / 2
  q2 = 3 * classSize / 4
  gradeA, B, C, D = [], [], [], []
  position = 0
  foreach x in l {
    if (position > q2) { gradeA = gradeA ++ [first(x)] }
    else if (position > q3) { gradeB = gradeB ++ [first(x)] }
    else if (position > q4) { gradeC = gradeC ++ [first(x)] }
    else { gradeD = gradeD ++ [first(x)] }
    position = position + 1
  }
End Procedure
</pre>";<ul><li>Position 0 always maps to grade D</li><li>The quartile boundaries must be recalculated if classSize changes</li><li>A student in position > q2 will always get grade A</li></ul>;The mapping is based on position in the sorted list. First item goes to gradeD. The quartile values depend on class size. (Varied form)
"<b>Q3:</b> Identify all lines/statements that are correct applications of the function <code>SortedListInsert</code>?<br><br>
<pre>
Procedure SortedListInsert(l, x)
  newList = []
  inserted = False
  foreach z in l {
    if (not(inserted) and x < z) {
      newList = newList ++ [x]
      inserted = True
    }
    newList = newList ++ [z]
  }
  if (not(inserted)) {
    newList = newList ++ [x]
  }
  return(newList)
End Procedure
</pre>";<ul><li>It maintains ascending order</li><li>Inserting into an empty list gives a list with one element</li><li>Duplicates are allowed</li></ul>;This procedure inserts x into the first position where x < z holds true, or appends at the end. It doesn’t remove duplicates. (Varied form)
