Front;Back;Extra
<b>QX:</b> When will Line 11 in Insert procedure execute?<br><ul><li>a) If X.Pages is less than all Y.Pages</li><li>b) If inserted = True inside the loop</li><li>c) If X.Pages is greater than all Y.Pages</li><li>d) If sBooks is empty</li></ul>;Correct: c);<b>Explanation:</b> Line 11 executes when X.Pages > all Y.Pages, meaning it wasn't inserted earlier.
<b>QX:</b> When will Line 11 in Insert procedure execute?<br><ul><li>a) If X.Pages is less than all Y.Pages</li><li>b) If inserted = True inside the loop</li><li>c) If X.Pages is greater than all Y.Pages</li><li>d) If sBooks is empty</li></ul>;Correct: c);<b>Explanation:</b> Line 11 executes when X.Pages > all Y.Pages, meaning it wasn't inserted earlier.
<b>QX:</b> When will Line 11 in Insert procedure execute?<br><ul><li>a) If X.Pages is less than all Y.Pages</li><li>b) If inserted = True inside the loop</li><li>c) If X.Pages is greater than all Y.Pages</li><li>d) If sBooks is empty</li></ul>;Correct: c);<b>Explanation:</b> Line 11 executes when X.Pages > all Y.Pages, meaning it wasn't inserted earlier.
<b>QX:</b> When will Line 11 in Insert procedure execute?<br><ul><li>a) If X.Pages is less than all Y.Pages</li><li>b) If inserted = True inside the loop</li><li>c) If X.Pages is greater than all Y.Pages</li><li>d) If sBooks is empty</li></ul>;Correct: c);<b>Explanation:</b> Line 11 executes when X.Pages > all Y.Pages, meaning it wasn't inserted earlier.
<b>QX:</b> When will Line 11 in Insert procedure execute?<br><ul><li>a) If X.Pages is less than all Y.Pages</li><li>b) If inserted = True inside the loop</li><li>c) If X.Pages is greater than all Y.Pages</li><li>d) If sBooks is empty</li></ul>;Correct: c);<b>Explanation:</b> Line 11 executes when X.Pages > all Y.Pages, meaning it wasn't inserted earlier.
<b>QX:</b> When will Line 11 in Insert procedure execute?<br><ul><li>a) If X.Pages is less than all Y.Pages</li><li>b) If inserted = True inside the loop</li><li>c) If X.Pages is greater than all Y.Pages</li><li>d) If sBooks is empty</li></ul>;Correct: c);<b>Explanation:</b> Line 11 executes when X.Pages > all Y.Pages, meaning it wasn't inserted earlier.
<b>QX:</b> When will Line 11 in Insert procedure execute?<br><ul><li>a) If X.Pages is less than all Y.Pages</li><li>b) If inserted = True inside the loop</li><li>c) If X.Pages is greater than all Y.Pages</li><li>d) If sBooks is empty</li></ul>;Correct: c);<b>Explanation:</b> Line 11 executes when X.Pages > all Y.Pages, meaning it wasn't inserted earlier.
<b>QX:</b> When will Line 11 in Insert procedure execute?<br><ul><li>a) If X.Pages is less than all Y.Pages</li><li>b) If inserted = True inside the loop</li><li>c) If X.Pages is greater than all Y.Pages</li><li>d) If sBooks is empty</li></ul>;Correct: c);<b>Explanation:</b> Line 11 executes when X.Pages > all Y.Pages, meaning it wasn't inserted earlier.
<b>QX:</b> When will Line 11 in Insert procedure execute?<br><ul><li>a) If X.Pages is less than all Y.Pages</li><li>b) If inserted = True inside the loop</li><li>c) If X.Pages is greater than all Y.Pages</li><li>d) If sBooks is empty</li></ul>;Correct: c);<b>Explanation:</b> Line 11 executes when X.Pages > all Y.Pages, meaning it wasn't inserted earlier.
<b>QX:</b> When will Line 11 in Insert procedure execute?<br><ul><li>a) If X.Pages is less than all Y.Pages</li><li>b) If inserted = True inside the loop</li><li>c) If X.Pages is greater than all Y.Pages</li><li>d) If sBooks is empty</li></ul>;Correct: c);<b>Explanation:</b> Line 11 executes when X.Pages > all Y.Pages, meaning it wasn't inserted earlier.
