"Front";"Back";"Extra"
"The procedure `Insert(X, books)` is designed to insert a book `X` into a list of books `books` that is already sorted in ascending order by the number of pages.<br><pre>1. Procedure Insert(X, books)
2.   sBooks = []
3.   inserted = False
4.   foreach Y in books {
5.     if (X.Pages <= last(Y) and not(inserted)) {
6.       sBooks = sBooks ++ [[X.SeqNo, X.Pages]]
7.       inserted = True
8.     }
9.     sBooks = sBooks ++ [Y]
10.  }
11.  if (not(inserted)) {
12.    sBooks = sBooks ++ [[X.SeqNo, X.Pages]]
13.  }
14.  return(sBooks)
15. End Procedure Insert</pre>What is the primary purpose of the `inserted` flag in this procedure?";"Correct: c)";"<b>Explanation:</b> The `inserted` flag is initialized to `False` and set to `True` the moment the book `X` is placed into `sBooks` within the loop. The condition `not(inserted)` prevents `X` from being inserted multiple times if there are several books with more pages. The final check after the loop handles the case where `X` is larger than all other books.<ul><li>a) To ensure the `foreach` loop runs at least once.</li><li>b) To track if the list `books` was empty before the procedure call.</li><li>c) To ensure that the new book `X` is inserted into `sBooks` only once.</li><li>d) To count how many books have the same number of pages as `X`.</li></ul>"
"Using the `Insert(X, books)` procedure, what happens if the input list `books` is empty?";"Correct: b)";"<b>Explanation:</b> If `books` is empty, the `foreach` loop on line 4 is skipped. The procedure moves to line 11. Since `inserted` is still `False`, the condition `not(inserted)` is true, and `X` is appended to `sBooks` on line 12. The procedure then returns `sBooks`, which contains only `X`.<ul><li>a) The procedure returns an empty list.</li><li>b) The new book `X` is added to `sBooks` after the loop, and a list containing only `X` is returned.</li><li>c) The procedure enters an infinite loop.</li><li>d) An error occurs because `foreach` cannot be used on an empty list.</li></ul>"
"In the `Insert(X, books)` procedure, which line is responsible for handling the case where the new book `X` has more pages than any book in the `books` list?";"Correct: d)";"<b>Explanation:</b> If `X.Pages` is greater than the pages of all books in the `books` list, the condition on line 5 will never be true. Consequently, `inserted` will remain `False` throughout the loop. Line 11 checks for this exact scenario and appends `X` to the end of `sBooks` on line 12.<ul><li>a) Line 5</li><li>b) Line 6</li><li>c) Line 9</li><li>d) Line 12</li></ul>"
"Consider the `Insert(X, books)` procedure. If `X.Pages = 350` and `books = [[5, 220], [10, 350], [20, 400]]`, at which point is `X` inserted into `sBooks`?";"Correct: a)";"<b>Explanation:</b> The loop iterates: 1) `Y=[5, 220]`: `350 <= 220` is false. `sBooks` becomes `[[5, 220]]`. 2) `Y=[10, 350]`: `350 <= 350` is true. `X` is inserted. `sBooks` becomes `[[5, 220], [X], [10, 350]]`. `inserted` is now `True`. 3) `Y=[20, 400]`: The first part of the condition on line 5 is true, but `not(inserted)` is false, so `X` is not inserted again. `sBooks` becomes `[[5, 220], [X], [10, 350], [20, 400]]`.<ul><li>a) Before the element `[10, 350]` is appended to `sBooks`.</li><li>b) After the element `[10, 350]` is appended to `sBooks`.</li><li>c) After the loop finishes, via the check on line 11.</li><li>d) It is never inserted because a book with 350 pages already exists.</li></ul>"
"What is the role of `last(Y)` in the condition on line 5 of the `Insert(X, books)` procedure?";"Correct: c)";"<b>Explanation:</b> Each element `Y` in the `books` list is a pair `[SeqNo, Pages]`. The `last(Y)` function extracts the second element of this pair, which is the number of pages. This is necessary to compare `X.Pages` with the page count of the book `Y`.<ul><li>a) It retrieves the last book from the entire `books` list.</li><li>b) It retrieves the sequence number of the book `Y`.</li><li>c) It retrieves the page count from the pair `Y`.</li><li>d) It checks if `Y` is the last element in the `books` list.</li></ul>"
"If the `and not(inserted)` part were removed from line 5 in `Insert(X, books)`, what would be the potential issue?";"Correct: b)";"<b>Explanation:</b> Without `and not(inserted)`, the condition `X.Pages <= last(Y)` would be true for every book `Y` that has more pages than `X`. This would cause `X` to be inserted into `sBooks` multiple times, which is incorrect for a sorted insertion.<ul><li>a) The code would be more efficient.</li><li>b) The book `X` could be inserted into `sBooks` multiple times.</li><li>c) The procedure would fail if `books` is empty.</li><li>d) The final `if` statement on line 11 would always be false.</li></ul>"
"In `Insert(X, books)`, why is `Y` appended to `sBooks` on line 9 in every iteration?";"Correct: d)";"<b>Explanation:</b> The goal is to build a new sorted list `sBooks` that contains all the original books from `books` plus the new book `X`. Line 9 ensures that every book from the original list is copied over to the new list in the correct order.<ul><li>a) To remove `Y` from the original `books` list.</li><li>b) To check for duplicate books.</li><li>c) It is only appended if the condition on line 5 is false.</li><li>d) To copy all elements from the original `books` list to the new `sBooks` list.</li></ul>"
"What would `Insert(X, books)` return if `X = [12, 500]` and `books = [[5, 220], [10, 350], [20, 400]]`?";"Correct: a)";"<b>Explanation:</b> `X.Pages` (500) is greater than the page count of every book in `books`. The condition on line 5 is never met, so `inserted` remains `False`. The loop copies all of `books` into `sBooks`. Finally, the condition on line 11 is true, and `X` is appended at the end.<ul><li>a) `[[5, 220], [10, 350], [20, 400], [12, 500]]`</li><li>b) `[[12, 500], [5, 220], [10, 350], [20, 400]]`</li><li>c) `[[5, 220], [10, 350], [12, 500], [20, 400]]`</li><li>d) `[[5, 220], [10, 350], [20, 400]]`</li></ul>"
"If the condition on line 5 of `Insert(X, books)` was changed to `X.Pages < last(Y)`, how would this affect the behavior for books with identical page counts?";"Correct: c)";"<b>Explanation:</b> Using `<` instead of `<=` means that if `X` has the same number of pages as a book `Y`, `X` will be inserted *after* `Y`. The original `<=` ensures `X` is inserted *before* any existing books with the same page count, making the sort stable.<ul><li>a) It would have no effect.</li><li>b) It would cause an error.</li><li>c) The new book `X` would be inserted after existing books with the same page count.</li><li>d) The new book `X` would not be inserted if a book with the same page count exists.</li></ul>"
"What is the purpose of initializing `sBooks = []` on line 2 of `Insert(X, books)`?";"Correct: a)";"<b>Explanation:</b> The procedure constructs a new list `sBooks` from scratch. It must be initialized as an empty list so that elements (both from the original `books` list and the new book `X`) can be appended to it using the `++` operator.<ul><li>a) To create a new list to build the result, leaving the original `books` list unmodified.</li><li>b) To clear the original `books` list.</li><li>c) To check if the procedure has been called before.</li><li>d) To store a temporary copy of `X`.</li></ul>"
"In the `Insert(X, books)` procedure, if we are inserting `X` where `X.Pages = 100` into `books = [[5, 50], [10, 150]]`, what is the value of `sBooks` after the first iteration of the `foreach` loop?";"Correct: b)";"<b>Explanation:</b> In the first iteration, `Y` is `[5, 50]`. The condition `100 <= 50` is false. `X` is not inserted. Then, `Y` (`[5, 50]`) is appended to `sBooks` on line 9. So, `sBooks` is `[[5, 50]]`.<ul><li>a) `[]`</li><li>b) `[[5, 50]]`</li><li>c) `[[X], [5, 50]]`</li><li>d) `[[5, 50], [X]]`</li></ul>"
